Nº;CANTON:;NOMBRE DEL LOCAL:;DIRECCIÓN:;A1;A2;B3;B4;C5;C6;C7;C8;C9;D10;D11;E12;E13;E14;E15;F161;F17;F18;G19;G20;G21;H22;H23;H24;I25;I26;I27;I281;J291;J30;K31
117;ROCAFUERTE;VETERINARIA MENDOZA;Atahualpa y Teresa Chávez;2,18;1;2,8;1;1,55;1,57;2,86;4,33;2;4,56;5;5;3,14;4;2,25;48 HORAS;1,57;3,8;1,5;1,82;5;2,17;3,67;1;1,17;1,8;2,83;1;1500;1,75;4,89
118;ROCAFUERTE;VENTA DE ROPA MORALES;Bolívar y 30 de septiembre;2;1,6;1,8;1,2;1,45;2,29;4,43;3,67;2;4,56;3,86;5;2,57;3,67;2;44 HORAS;1,43;3;1;2;5;2,17;3,67;1,67;1,17;2,2;2,33;2;2500;1,42;4,78
119;ROCAFUERTE;MARISQUERIA CUEVA DEL TIM;Atahualpa y Eloy Alfaro;2,09;1,6;2;2;2,27;1,43;3,29;4,33;2;4,11;4,43;4,88;2,57;3,5;1,75;45 HORAS;1,14;2,8;1,67;2,36;5;2,17;3,67;1;1,17;2;2,5;2;1100;2;4,72
120;ROCAFUERTE;JUGOS NATURALES MONTES;Pichincha y Eloy Alfaro;1,27;1,2;1,8;1;1,82;1,43;1,14;3,33;2;3,67;2,71;3,75;2,86;2,83;2,13;48 HORAS;1,43;4;2;1,64;4;2,33;4;1;1;1;2;2;800;2;4
121;SUCRE;VENTA DE MARISCOS BERMUDEZ;San Clemente;1;1;1;1;1,82;1,14;1;3,5;2;3,67;1;3,75;3;3,17;1,75;52 HORAS;1,86;4;1;1,55;5;2;4;1;1;1;1,5;2;1300;2;4
122;ROCAFUERTE;TRANSPORTES ZAMBRANO;Atahualpa y Teresa Chávez;1,27;1,2;1;1;1,45;1,29;2;3,5;1;3,67;2,71;3,75;2,71;2,33;1,5;90 HORAS;2,86;4;1,83;1,45;5;2,33;4;1;1;1;2;2;1200;1,83;3,89
123;ROCAFUERTE;VENTA DE ARROZ;Las Peñas;1,73;1,6;2,6;1,2;1,64;1,71;3,14;3,5;2;4,11;2,29;3,88;2;2,17;2;52 HORAS;2,14;2,6;1;2;5;1,67;3,67;1;1;2;2,33;1;1100;1,75;4,61
124;ROCAFUERTE;VENTA DE CHANCHO PINARGOTE;Guarango;1,55;1;1,6;1,6;1,64;1,43;3,29;4,33;2;3,67;5;4,63;2,29;2,67;1,88;48 HORAS;1,71;2,4;1;2,09;5;2;3,67;1,33;1,17;1,6;2,83;2;1200;1,67;4,78
125;ROCAFUERTE;EBANISTERÍA CEDEÑO;30 de septiembre;1,82;1,8;1,8;1,6;1,91;1,57;4;4,33;2;3,67;5;4;1,86;2,5;2,25;50 HORAS;2,14;2,8;1,33;2,27;5;1,5;3,67;1,67;1,33;2;2,17;2;1000;1,75;4,78
126;ROCAFUERTE;VENTA DE GRANOS MEJÍA;Calle Elias Cedeño;1,64;1,6;2,8;1;1,55;1,43;3,86;3,67;2;4,11;1,86;5;2,71;3,67;2,13;48 HORAS;1,43;2,4;1;2,18;5;2;3,67;1;1,33;1,8;2;1;1100;2;4,61
